"College","Branch","Quota","Category","Gender","O.R.","C.R."
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","8471","11077"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","16998","18269"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1424","1668"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","3536","3536"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","3044","4109"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","6138","7788"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","1754","2270"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","3093","3110"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","656","698"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","909","909"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","10473","12029"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","19197","19197"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","1691","1691"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","4349","4411"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Female-only (including Supernumerary)","6812","6812"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","2346","2346"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Female-only (including Supernumerary)","687P","687P"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","796","796"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","12372","12487"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","19513","19513"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","1952","1952"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","3685","4501"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","2405","2510"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Female-only (including Supernumerary)","1075P","1075P"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Female-only (including Supernumerary)","616P","616P"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","12034","12584"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","20896","20896"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","1984","1984"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","4133","4584"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","2275","2275"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Female-only (including Supernumerary)","1247P","1367P"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","918","918"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","1621","2193"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","3221","5005"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","97","97"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","257","292"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","685","685"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","443","740"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","1244","2120"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","52","52"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","240","415"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","850","910"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","144","259"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","462","462"
